id_,assists,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,goals_conceded,goals_scored,ict_index,in_dreamteam,influence,minutes,news,news_added,now_cost,own_goals,penalties_missed,penalties_saved,photo,points_per_game,red_cards,saves,second_name,selected_by_percent,special,squad_number,status,team,team_code,threat,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards
168,0,1,233,,,5,17745,1,-1,2,-2,10.0,0,1,6.5,5.5,6,Kasper,6.0,8,0,27.9,False,269.2,1080,,,52,0,0,0,17745.jpg,4.3,0,32,Schmeichel,11.4,False,,a,9,13,0.0,52,542408,105591,212234,12608,1.2,10.0,Schmeichel,0
182,4,5,268,100.0,100.0,2,169187,0,0,2,-2,605.8,1,2,4.0,3.0,2,Trent,3.0,10,1,114.5,False,362.8,1080,,2019-10-22T15:00:19.720774Z,72,0,0,0,169187.jpg,4.3,0,0,Alexander-Arnold,29.4,False,,a,10,14,176.0,52,1091936,36912,719556,24631,0.4,7.2,Alexander-Arnold,3
313,1,9,183,,,1,84939,0,0,0,0,107.6,1,4,3.8,4.3,7,Danny,4.8,18,5,72.0,False,240.0,749,,,60,0,0,0,84939.jpg,4.3,0,0,Ings,2.9,False,,a,16,20,373.0,52,284329,22202,241803,8094,0.8,8.7,Ings,0
494,1,7,242,,,3,225321,0,0,1,-1,10.0,2,1,6.8,7.3,4,Aaron,6.8,15,0,31.7,False,305.6,1080,,,46,0,0,0,225321.jpg,4.3,0,42,Ramsdale,4.3,False,,a,3,91,0.0,52,318628,68288,43099,6566,1.5,11.3,Ramsdale,0
342,5,4,146,100.0,100.0,1,85971,0,0,1,-1,198.2,1,3,4.5,5.0,8,Heung-Min,4.0,13,3,83.1,False,233.8,786,,2019-11-03T18:30:18.433263Z,96,0,0,0,85971.jpg,5.1,1,0,Son,7.6,False,,a,17,6,399.0,51,1149590,49766,799845,12666,0.4,5.3,Son,0
291,2,4,240,,,5,63426,0,0,1,-1,173.1,1,2,3.5,3.5,2,Enda,4.5,9,0,49.3,False,214.2,1080,,,51,0,0,0,63426.jpg,4.2,0,0,Stevens,2.4,False,,a,15,49,106.0,51,177312,14080,47111,7566,0.9,10.0,Stevens,1
471,0,2,224,0.0,,5,172649,0,0,2,-2,0.0,1,1,0.0,3.5,3,Dean,4.5,9,0,24.3,False,223.8,1080,Ineligible to face parent club on 24/11. - Expected back 01 Dec,2019-11-09T17:30:13.445733Z,47,0,0,0,172649.jpg,4.2,0,34,Henderson,5.7,False,,n,15,49,18.0,51,390997,13278,124532,37272,1.0,10.9,Henderson,2
294,1,3,192,,,5,82691,0,0,0,0,117.7,0,2,4.2,4.2,8,George,5.2,9,1,42.4,False,201.2,1080,,,45,0,0,0,82691.jpg,4.2,0,0,Baldock,1.8,False,,a,15,49,105.0,51,133992,48795,33323,3117,1.2,11.3,Baldock,3
31,2,4,195,,,2,122806,0,0,3,-3,234.3,0,3,2.8,2.3,2,John,2.8,20,3,87.9,False,315.0,1080,,,58,0,0,0,122806.jpg,4.2,0,0,McGinn,11.9,False,,a,2,7,330.0,50,1165786,33198,568022,29157,0.5,8.6,McGinn,1
68,3,6,161,,,2,78007,0,0,-2,2,215.1,1,4,3.0,3.5,2,Joshua,3.0,15,3,71.3,False,248.4,1006,,,63,0,0,0,78007.jpg,4.2,0,0,King,9.5,False,,a,3,91,249.0,50,601200,25261,1215876,30505,0.5,7.9,King,0
113,3,9,189,100.0,100.0,4,47431,0,0,1,-1,266.6,2,3,5.5,6.5,7,Willian,6.0,7,2,75.0,False,225.6,756,,2019-07-30T11:00:13.285605Z,71,0,0,0,47431.jpg,4.5,0,0,Borges Da Silva,3.0,False,,a,6,8,258.0,49,221313,20156,101482,9751,0.8,6.9,Willian,2
411,0,4,209,,,3,38533,0,0,2,-2,0.0,0,1,2.8,3.3,3,Rui Pedro,2.8,15,0,26.3,False,261.8,1080,,,52,0,0,1,38533.jpg,4.1,0,31,dos Santos Patrício,12.4,False,,a,20,39,0.0,49,749900,12770,323115,17822,0.5,9.4,Patrício,0
97,5,1,182,100.0,100.0,5,433154,0,0,0,0,266.4,0,3,5.5,5.0,6,Dwight,5.0,17,1,63.1,False,219.8,1024,,2019-09-26T14:30:17.961067Z,60,0,0,0,433154.jpg,4.1,0,0,McNeil,0.9,False,,a,5,90,146.0,49,78675,19107,46776,3236,0.8,8.2,McNeil,0
428,1,7,135,100.0,100.0,3,213345,0,0,0,0,82.1,1,4,2.0,1.5,2,Wesley,2.0,16,4,68.3,False,210.0,1014,,2019-10-19T19:00:18.658995Z,60,0,1,0,213345.jpg,4.0,0,0,Moraes,2.5,False,,a,2,7,405.0,48,348916,7023,261421,13656,0.3,8.0,Wesley,0
457,2,5,176,100.0,100.0,3,103123,-1,1,-3,3,169.6,1,4,2.3,2.8,2,Sébastien,2.8,19,4,91.5,False,236.0,990,,2019-08-15T15:30:11.044189Z,72,0,0,0,103123.jpg,4.4,0,0,Haller,3.7,False,,a,19,21,510.0,48,528831,1982,560593,25865,0.4,6.6,Haller,1
42,2,8,260,0.0,,4,83299,0,0,1,-1,61.1,2,2,0.0,2.8,6,Lewis,3.8,17,1,45.1,False,289.8,1080,Suspended until 30 Nov,2019-11-10T16:30:22.420611Z,46,0,0,0,83299.jpg,4.0,0,0,Dunk,11.5,False,,s,4,36,100.0,48,683441,6169,437419,48997,0.8,10.4,Dunk,5
162,1,4,237,,,5,37642,0,0,1,-1,30.4,1,2,5.0,4.0,5,Jonny,4.5,8,0,37.3,False,241.2,1080,,,51,0,0,0,37642.jpg,3.9,0,0,Evans,3.0,False,,a,9,13,101.0,47,212568,9739,83683,6691,0.9,9.2,Evans,3
293,1,4,223,,,5,146610,0,0,1,-1,87.7,1,2,4.2,4.2,2,Jack,5.2,9,0,41.5,False,217.4,1080,,,46,0,0,0,146610.jpg,3.9,0,0,O'Connell,2.0,False,,a,15,49,110.0,47,139327,8912,33880,5417,1.1,10.2,O'Connell,2
248,2,6,181,75.0,75.0,2,195851,0,0,1,-1,137.9,0,3,3.9,3.9,5,Scott,4.2,11,2,62.2,False,261.0,1065,Ankle injury - 75% chance of playing,2019-11-10T16:30:22.747107Z,51,0,0,0,195851.jpg,3.9,0,0,McTominay,3.7,False,,d,12,1,223.0,47,332920,17851,143171,17643,0.8,9.2,McTominay,1
366,0,10,223,,,3,9089,0,0,-2,2,10.0,1,1,5.5,6.0,9,Ben,6.0,23,0,33.0,False,302.0,1080,,,48,0,0,0,9089.jpg,3.8,0,41,Foster,2.1,False,,a,18,57,17.0,46,57231,17126,107336,2600,1.3,9.6,Foster,0
265,2,2,143,,,4,168580,0,0,-4,4,120.2,1,3,7.0,6.0,1,Ayoze,6.5,5,3,59.2,False,205.6,701,,,61,0,0,0,168580.jpg,4.2,0,0,Pérez,6.5,False,,a,9,13,265.0,46,375746,31354,928381,33787,1.1,7.5,Pérez,0
